episode_number,episode_date,episode_title
1172,2018-09-12,Morgan Fallon
1171,2018-09-11,Nick Yarris
1170,2018-09-10,Tulsi Gabbard
1169,2018-09-07,Elon Musk
1168,2018-09-05,Mareko Maumasi
1167,2018-09-05,Larry Sharpe
1166,2018-09-04,Diamond Dallas Page
1165,2018-08-31,Tom Papa
1164,2018-08-30,Mikhaila Peterson
1163,2018-08-28,Banachek
1162,2018-08-27,Valentine Thomas
1161,2018-08-23,Jerrod Carmichael & Jamar Neighbors
1160,2018-08-23,Bert Kreischer
1159,2018-08-22,Neil deGrasse Tyson
1158,2018-08-22,Chuck Palahniuk
1157,2018-08-21,Shooter Jennings
1156,2018-08-09,Jimmy Dore
1155,2018-08-09,Henry Rollins
1154,2018-08-08,Doug Duren & Bryan Richards
1153,2018-08-07,Macaulay Culkin
1152,2018-08-02,John Joseph
1151,2018-08-01,Sean Carroll
1150,2018-07-31,Felipe Esparza
1149,2018-07-30,Michael Scott Moore
1148,2018-07-27,Andrew Santino
1147,2018-07-26,Dr. Debra Soh
1146,2018-07-25,Jeff Garlin
1145,2018-07-17,Peter Schiff
1144,2018-07-16,Doug Stanhope
1143,2018-07-11,Candice Thompson
1142,2018-07-10,Tony Rock
1141,2018-07-05,Theo Von
1140,2018-07-04,Joey Diaz
1139,2018-07-02,Jordan Peterson
1138,2018-06-28,Ted Nugent
1137,2018-06-27,Duncan Trussell
1136,2018-06-26,Hamilton Morris
1135,2018-06-25,Ari Shaffir
1134,2018-06-22,Kyle Dunnigan
1133,2018-06-21,Dennis McKenna
1132,2018-06-18,Kyle Kingsbury
1131,2018-06-13,Dave Rubin
1130,2018-06-12,Adam Frank
1129,2018-06-11,Tom Papa
1128,2018-06-06,Ryan Sickler
1127,2018-06-05,Jesse Itzler
1126,2018-06-04,Erik Griffin
1125,2018-05-31,Candace Owens
1124,2018-05-31,Robert Schoch
1123,2018-05-30,Kevin Smith
1122,2018-05-29,Donnie Vincent
1121,2018-05-24,Michael Pollan
1120,2018-05-22,Ben Greenfield
1119,2018-05-21,Howard Bloom
1118,2018-05-18,Theo Von
1117,2018-05-17,Tim Kennedy
1116,2018-05-16,Steven Tyler
1115,2018-05-09,Mike Baker
1114,2018-05-09,Matt Taibbi
1113,2018-05-08,Brian Redban
1112,2018-05-05,Cameron Hanes
1111,2018-04-26,Abby Martin
1110,2018-04-26,Zach Bitter
1109,2018-04-25,Matthew Walker
1108,2018-04-24,Peter Attia
1107,2018-04-18,Sam Harris & Maajid Nawaz
1106,2018-04-18,Colion Noir
1105,2018-04-17,Michael Hunter
1104,2018-04-16,Boyan Slat
1103,2018-04-13,Tom Segura
1102,2018-04-11,Matt Farah
1101,2018-04-09,Chris & Mark Bell
1100,2018-04-04,Liz Phair
1099,2018-04-03,Christopher Ryan
1098,2018-04-02,Eddie Bravo
1097,2018-03-28,Legion of Skanks
1096,2018-03-27,Todd Glass
1095,2018-03-26,T.J. English & Joey Diaz
1094,2018-03-20,Brian Redban
1093,2018-03-19,Owen Benjamin & Kurt Metzger
1092,2018-03-14,Mary Lynn Rajskub
1091,2018-03-14,Daniele Bolelli
1090,2018-03-13,Andrew Santino
1089,2018-03-07,John Dudley
1088,2018-03-06,Bryan Callen
1087,2018-03-05,Sturgill Simpson
1086,2018-02-28,Rory Albanese
1085,2018-02-27,Kyle Kulinski
1084,2018-02-26,Douglas Murray
1083,2018-02-22,Dom Irrera
1082,2018-02-21,Greg Fitzsimmons
1081,2018-02-20,Bret Weinstein & Heather Heying
1080,2018-02-19,David Goggins
1079,2018-02-15,Tony Hinchcliffe
1078,2018-02-13,Jimmy Dore
1077,2018-02-12,Johann Hari
1076,2018-02-09,Phil Demers
1075,2018-02-08,Duncan Trussell
1074,2018-02-06,Cameron Hanes
1073,2018-02-04,Steven Pinker
1072,2018-02-01,Joey Diaz
1071,2018-01-30,Steven Crowder & NotGay Jared
1070,2018-01-30,Jordan Peterson
1069,2018-01-29,Ben Greenfield
1068,2018-01-24,Michael Shermer
1067,2018-01-23,Whitney Cummings
1066,2018-01-17,Mel Gibson & Dr. Neil Riordan
1065,2018-01-16,Danica Patrick
1064,2018-01-15,Eddie Huang & Jessica Rosenworcel
1063,2018-01-11,Tom Segura
1062,2018-01-10,Dan Harris & Jeff Warren
1061,2018-01-09,Tom Papa
1060,2018-01-04,Remi Warren
1059,2018-01-02,Brian Redban
1058,2017-12-28,Nina Teicholz
1057,2017-12-28,Eddie Pepitone
1056,2017-12-27,Dr. Mark Gordon & Andrew Marr
1055,2017-12-19,Bret Weinstein
1054,2017-12-18,Dr. Rhonda Patrick
1053,2017-12-14,Neal Brennan
1052,2017-12-12,Mick West
1051,2017-12-11,Duncan Trussell & Christopher Ryan
1050,2017-12-07,Dr. Shawn Baker
1049,2017-12-06,Chris Stapleton
1048,2017-12-05,Doug Stanhope
1047,2017-12-04,Andy Stumpf
1046,2017-11-29,Owen Smith
1045,2017-11-28,Bryan Callen
1044,2017-11-28,C.T. Fletcher
1043,2017-11-27,Brian Redban
1042,2017-11-20,Krystyna Hutchinson & Corinne Fisher
1041,2017-11-16,Dan Carlin
1040,2017-11-15,Brian Regan
1039,2017-11-14,Iliza Shlesinger
1038,2017-11-10,Billy Corgan
1037,2017-11-08,Chris Kresser
1036,2017-11-07,"Ari Shaffir, Bert Kreischer & Tom Segura"
1035,2017-11-07,Paul Stamets
1034,2017-11-06,Sebastian Junger
1033,2017-11-01,Owen Benjamin
1032,2017-10-31,Colin Moriarty
1031,2017-10-30,Jamie Kilstein
1030,2017-10-27,"Joey ""CoCo"" Diaz"
1029,2017-10-26,Tom DeLonge
1028,2017-10-25,Adam Greentree
1027,2017-10-24,Courtney Dauwalter
1026,2017-10-23,Brian Redban
1025,2017-10-18,Greg Fitzsimmons
1024,2017-10-12,Bert Kreischer
1023,2017-10-11,Christina P
1022,2017-10-10,Eric Weinstein
1021,2017-10-05,Russell Brand
1020,2017-10-05,Amy Alkon
1019,2017-10-04,Bryan Fogel
1018,2017-10-03,Alonzo Bodden
1017,2017-09-28,Jim Norton
1016,2017-09-27,Whitney Cummings
1015,2017-09-26,Reggie Watts
1014,2017-09-25,Dave Smith
1013,2017-09-22,Cameron Hanes
1012,2017-09-15,Brendan Schaub
1011,2017-09-14,Tom Papa
1010,2017-09-07,Brian Redban
1009,2017-09-06,James Damore
1008,2017-09-05,Cody Garbrandt & Urijah Faber
1007,2017-09-04,"Ari Shaffir, Bert Kreischer & Tom Segura"
1006,2017-09-01,Jordan Peterson & Bret Weinstein
1005,2017-08-30,Hannibal Buress
1004,2017-08-29,W. Kamau Bell
1003,2017-08-24,Sean Carroll
1002,2017-08-23,Peter Schiff
1001,2017-08-21,Mike Baker
1e3,2017-08-18,Joey Diaz & Tom Segura
999,2017-08-16,Tom Bilyeu
998,2017-08-15,Owen Benjamin
997,2017-08-10,Pauly Shore
996,2017-08-09,Dr. Andy Galpin
995,2017-08-08,Jon Ronson
994,2017-08-07,Dom D'Agostino
993,2017-08-02,Ben Shapiro
992,2017-08-01,Ian Edwards
991,2017-07-31,Eddie Bravo
990,2017-07-27,Jamie Foxx
989,2017-07-26,Dorian Yates
988,2017-07-25,Nick Swardson
987,2017-07-13,Ben O'Brien
986,2017-07-12,Maynard James Keenan
985,2017-07-11,Gad Saad
984,2017-07-06,Yvette d'Entremont
