date,keyword,interest
2013-09-21,Joe Rogan,18
2013-09-28,Joe Rogan,16
2013-10-05,Joe Rogan,16
2013-10-12,Joe Rogan,16
2013-10-19,Joe Rogan,18
2013-10-26,Joe Rogan,16
2013-11-02,Joe Rogan,16
2013-11-09,Joe Rogan,17
2013-11-16,Joe Rogan,19
2013-11-23,Joe Rogan,14
2013-11-30,Joe Rogan,14
2013-12-07,Joe Rogan,16
2013-12-14,Joe Rogan,16
2013-12-21,Joe Rogan,15
2013-12-28,Joe Rogan,24
2014-01-04,Joe Rogan,21
2014-01-11,Joe Rogan,20
2014-01-18,Joe Rogan,19
2014-01-25,Joe Rogan,18
2014-02-01,Joe Rogan,17
2014-02-08,Joe Rogan,16
2014-02-15,Joe Rogan,16
2014-02-22,Joe Rogan,23
2014-03-01,Joe Rogan,17
2014-03-08,Joe Rogan,18
2014-03-15,Joe Rogan,16
2014-03-22,Joe Rogan,17
2014-03-29,Joe Rogan,18
2014-04-05,Joe Rogan,16
2014-04-12,Joe Rogan,18
2014-04-19,Joe Rogan,18
2014-04-26,Joe Rogan,20
2014-05-03,Joe Rogan,16
2014-05-10,Joe Rogan,19
2014-05-17,Joe Rogan,23
2014-05-24,Joe Rogan,26
2014-05-31,Joe Rogan,18
2014-06-07,Joe Rogan,16
2014-06-14,Joe Rogan,16
2014-06-21,Joe Rogan,15
2014-06-28,Joe Rogan,15
2014-07-05,Joe Rogan,28
2014-07-12,Joe Rogan,17
2014-07-19,Joe Rogan,19
2014-07-26,Joe Rogan,21
2014-08-02,Joe Rogan,18
2014-08-09,Joe Rogan,21
2014-08-16,Joe Rogan,16
2014-08-23,Joe Rogan,18
2014-08-30,Joe Rogan,17
2014-09-06,Joe Rogan,17
2014-09-13,Joe Rogan,16
2014-09-20,Joe Rogan,16
2014-09-27,Joe Rogan,14
2014-10-04,Joe Rogan,14
2014-10-11,Joe Rogan,16
2014-10-18,Joe Rogan,16
2014-10-25,Joe Rogan,17
2014-11-01,Joe Rogan,16
2014-11-08,Joe Rogan,16
2014-11-15,Joe Rogan,23
2014-11-22,Joe Rogan,19
2014-11-29,Joe Rogan,17
2014-12-06,Joe Rogan,23
2014-12-13,Joe Rogan,21
2014-12-20,Joe Rogan,15
2014-12-27,Joe Rogan,17
2015-01-03,Joe Rogan,25
2015-01-10,Joe Rogan,19
2015-01-17,Joe Rogan,18
2015-01-24,Joe Rogan,19
2015-01-31,Joe Rogan,19
2015-02-07,Joe Rogan,16
2015-02-14,Joe Rogan,16
2015-02-21,Joe Rogan,18
2015-02-28,Joe Rogan,22
2015-03-07,Joe Rogan,19
2015-03-14,Joe Rogan,18
2015-03-21,Joe Rogan,19
2015-03-28,Joe Rogan,20
2015-04-04,Joe Rogan,18
2015-04-11,Joe Rogan,16
2015-04-18,Joe Rogan,16
2015-04-25,Joe Rogan,18
2015-05-02,Joe Rogan,19
2015-05-09,Joe Rogan,18
2015-05-16,Joe Rogan,18
2015-05-23,Joe Rogan,18
2015-05-30,Joe Rogan,18
2015-06-06,Joe Rogan,16
2015-06-13,Joe Rogan,17
2015-06-20,Joe Rogan,18
2015-06-27,Joe Rogan,21
2015-07-04,Joe Rogan,21
2015-07-11,Joe Rogan,26
2015-07-18,Joe Rogan,21
2015-07-25,Joe Rogan,22
2015-08-01,Joe Rogan,27
2015-08-08,Joe Rogan,24
2015-08-15,Joe Rogan,19
2015-08-22,Joe Rogan,22
2015-08-29,Joe Rogan,18
2015-09-05,Joe Rogan,18
2015-09-12,Joe Rogan,19
2015-09-19,Joe Rogan,19
2015-09-26,Joe Rogan,18
2015-10-03,Joe Rogan,17
2015-10-10,Joe Rogan,19
2015-10-17,Joe Rogan,20
2015-10-24,Joe Rogan,18
2015-10-31,Joe Rogan,16
2015-11-07,Joe Rogan,19
2015-11-14,Joe Rogan,38
2015-11-21,Joe Rogan,21
2015-11-28,Joe Rogan,20
2015-12-05,Joe Rogan,22
2015-12-12,Joe Rogan,32
2015-12-19,Joe Rogan,24
2015-12-26,Joe Rogan,20
2016-01-02,Joe Rogan,21
2016-01-09,Joe Rogan,18
2016-01-16,Joe Rogan,22
2016-01-23,Joe Rogan,20
2016-01-30,Joe Rogan,21
2016-02-06,Joe Rogan,19
2016-02-13,Joe Rogan,18
2016-02-20,Joe Rogan,25
2016-02-27,Joe Rogan,22
2016-03-05,Joe Rogan,32
2016-03-12,Joe Rogan,23
2016-03-19,Joe Rogan,26
2016-03-26,Joe Rogan,23
2016-04-02,Joe Rogan,19
2016-04-09,Joe Rogan,20
2016-04-16,Joe Rogan,24
2016-04-23,Joe Rogan,21
2016-04-30,Joe Rogan,19
2016-05-07,Joe Rogan,23
2016-05-14,Joe Rogan,26
2016-05-21,Joe Rogan,22
2016-05-28,Joe Rogan,22
2016-06-04,Joe Rogan,25
2016-06-11,Joe Rogan,22
2016-06-18,Joe Rogan,27
2016-06-25,Joe Rogan,20
2016-07-02,Joe Rogan,28
2016-07-09,Joe Rogan,33
2016-07-16,Joe Rogan,25
2016-07-23,Joe Rogan,24
2016-07-30,Joe Rogan,22
2016-08-06,Joe Rogan,18
2016-08-13,Joe Rogan,19
2016-08-20,Joe Rogan,31
2016-08-27,Joe Rogan,22
2016-09-03,Joe Rogan,19
2016-09-10,Joe Rogan,24
2016-09-17,Joe Rogan,22
2016-09-24,Joe Rogan,21
2016-10-01,Joe Rogan,17
2016-10-08,Joe Rogan,24
2016-10-15,Joe Rogan,26
2016-10-22,Joe Rogan,37
2016-10-29,Joe Rogan,25
2016-11-05,Joe Rogan,33
2016-11-12,Joe Rogan,31
2016-11-19,Joe Rogan,23
2016-11-26,Joe Rogan,26
2016-12-03,Joe Rogan,25
2016-12-10,Joe Rogan,23
2016-12-17,Joe Rogan,24
2016-12-24,Joe Rogan,34
2016-12-31,Joe Rogan,37
2017-01-07,Joe Rogan,26
2017-01-14,Joe Rogan,27
2017-01-21,Joe Rogan,27
2017-01-28,Joe Rogan,42
2017-02-04,Joe Rogan,37
2017-02-11,Joe Rogan,41
2017-02-18,Joe Rogan,44
2017-02-25,Joe Rogan,35
2017-03-04,Joe Rogan,34
2017-03-11,Joe Rogan,34
2017-03-18,Joe Rogan,32
2017-03-25,Joe Rogan,28
2017-04-01,Joe Rogan,29
2017-04-08,Joe Rogan,30
2017-04-15,Joe Rogan,30
2017-04-22,Joe Rogan,29
2017-04-29,Joe Rogan,29
2017-05-06,Joe Rogan,30
2017-05-13,Joe Rogan,39
2017-05-20,Joe Rogan,34
2017-05-27,Joe Rogan,33
2017-06-03,Joe Rogan,34
2017-06-10,Joe Rogan,33
2017-06-17,Joe Rogan,32
2017-06-24,Joe Rogan,34
2017-07-01,Joe Rogan,28
2017-07-08,Joe Rogan,34
2017-07-15,Joe Rogan,30
2017-07-22,Joe Rogan,32
